	onset	duration	condition	amplitude
0	0.0	8	100	0
0	8.26	4.55	80	3
0	13.0	2	81	3
0	15.2	2	82	3
0	17.16	2	83	3
0	19.17	2	84	3
0	21.17	2	85	3
0	23.74	7.0	87	3
