	onset	duration	condition	amplitude
0	0.0	8	100	0
0	8.2	4.98	40	2
0	13.38	2	41	2
0	15.6	2	42	2
0	17.53	2	43	2
0	19.53	2	44	2
0	21.53	2	45	2
0	24.62	7.0	47	2
